
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 1, Loss: 1.9213e-02, IC: 1.9213e-02, Res: 0.0000e+00 ---
--- Best Epoch: 2, Loss: 1.0433e-02, IC: 1.0433e-02, Res: 4.1086e-19 ---
--- Best Epoch: 3, Loss: 6.2872e-03, IC: 6.2872e-03, Res: 2.0035e-32 ---
--- Best Epoch: 4, Loss: 5.5623e-03, IC: 5.5623e-03, Res: 5.3219e-17 ---
--- Best Epoch: 5, Loss: 4.4916e-03, IC: 4.4916e-03, Res: 4.5421e-17 ---
--- Best Epoch: 6, Loss: 3.4316e-03, IC: 3.4316e-03, Res: 1.0957e-17 ---
--- Best Epoch: 7, Loss: 3.0598e-03, IC: 3.0598e-03, Res: 3.0494e-27 ---
--- Best Epoch: 8, Loss: 2.3932e-03, IC: 2.3932e-03, Res: 5.5001e-28 ---
--- Best Epoch: 9, Loss: 1.9380e-03, IC: 1.9380e-03, Res: 1.1815e-21 ---
--- Best Epoch: 10, Loss: 1.2861e-03, IC: 1.2861e-03, Res: 1.5654e-16 ---
--- Best Epoch: 11, Loss: 1.1454e-03, IC: 1.1454e-03, Res: 8.7915e-24 ---
--- Best Epoch: 12, Loss: 1.0941e-03, IC: 1.0941e-03, Res: 1.3115e-12 ---
--- Best Epoch: 14, Loss: 9.2269e-04, IC: 9.2269e-04, Res: 9.0618e-25 ---
--- Best Epoch: 15, Loss: 7.0820e-04, IC: 7.0820e-04, Res: 5.3018e-23 ---
--- Best Epoch: 16, Loss: 5.7474e-04, IC: 5.7474e-04, Res: 5.4874e-16 ---
--- Best Epoch: 17, Loss: 5.0759e-04, IC: 5.0759e-04, Res: 5.9087e-21 ---
--- Best Epoch: 18, Loss: 4.8415e-04, IC: 4.8415e-04, Res: 2.6207e-21 ---
--- Best Epoch: 19, Loss: 3.9561e-04, IC: 3.9561e-04, Res: 1.2226e-20 ---
--- Best Epoch: 20, Loss: 3.7256e-04, IC: 3.7256e-04, Res: 2.0560e-16 ---
--- Best Epoch: 21, Loss: 3.3351e-04, IC: 3.3351e-04, Res: 9.7918e-23 ---
--- Best Epoch: 22, Loss: 3.1519e-04, IC: 3.1519e-04, Res: 1.6767e-20 ---
--- Best Epoch: 23, Loss: 2.8020e-04, IC: 2.8020e-04, Res: 2.2699e-21 ---
--- Best Epoch: 24, Loss: 2.4974e-04, IC: 2.4974e-04, Res: 5.9351e-13 ---
--- Best Epoch: 25, Loss: 2.4719e-04, IC: 2.4719e-04, Res: 1.4099e-19 ---
--- Best Epoch: 26, Loss: 2.3114e-04, IC: 2.3114e-04, Res: 4.2407e-30 ---
--- Best Epoch: 27, Loss: 1.9366e-04, IC: 1.9366e-04, Res: 8.3451e-17 ---
--- Best Epoch: 28, Loss: 1.9139e-04, IC: 1.9139e-04, Res: 5.9007e-16 ---
--- Best Epoch: 29, Loss: 1.8255e-04, IC: 1.8255e-04, Res: 3.8576e-11 ---
