
===== logging start 2025-11-05 03:59:19 =====
[check] bias_fac:  0.5
--- Save Epoch: 1, Loss: 3.1096e-01, IC: 3.1096e-01, Res: 0.0000e+00, Beta: 0.00 ---
... RAR IC , Max IC error: 0.9938, t: tensor(0.)
--- Save Epoch: 21, Loss: 3.0758e-01, IC: 3.0758e-01, Res: 0.0000e+00, Beta: 0.02 ---
... RAR IC , Max IC error: 0.9818, t: tensor(0.)
[info] Training epoch: 1000, LR: 9.50e-04
[info] Training epoch: 2000, LR: 9.02e-04
[info] Training epoch: 3000, LR: 8.57e-04
[info] Training epoch: 4000, LR: 8.15e-04
[info] Training epoch: 5000, LR: 7.74e-04
[info] Training epoch: 6000, LR: 7.35e-04
[info] Training epoch: 7000, LR: 6.98e-04
[info] Training epoch: 8000, LR: 6.63e-04
[info] Training epoch: 9000, LR: 6.30e-04
[info] Training epoch: 10000, LR: 5.99e-04
[info] Training epoch: 11000, LR: 5.69e-04
[info] Training epoch: 12000, LR: 5.40e-04
[info] Training epoch: 13000, LR: 5.13e-04
[info] Training epoch: 14000, LR: 4.88e-04
[info] Training epoch: 15000, LR: 4.63e-04
[info] Training epoch: 16000, LR: 4.40e-04
[info] Training epoch: 17000, LR: 4.18e-04
[info] Training epoch: 18000, LR: 3.97e-04
[info] Training epoch: 19000, LR: 3.77e-04
[info] Training epoch: 20000, LR: 3.58e-04
[info] Training epoch: 21000, LR: 3.41e-04
[info] Training epoch: 22000, LR: 3.24e-04
[info] Training epoch: 23000, LR: 3.07e-04
[info] Training epoch: 24000, LR: 2.92e-04
[info] Training epoch: 25000, LR: 2.77e-04
[info] Training epoch: 26000, LR: 2.64e-04
[info] Training epoch: 27000, LR: 2.50e-04
[info] Training epoch: 28000, LR: 2.38e-04
[info] Training epoch: 29000, LR: 2.26e-04
[info] Training epoch: 30000, LR: 2.15e-04
[info] Training epoch: 31000, LR: 2.04e-04
[info] Training epoch: 32000, LR: 1.94e-04
[info] Training epoch: 33000, LR: 1.84e-04
[info] Training epoch: 34000, LR: 1.75e-04
[info] Training epoch: 35000, LR: 1.66e-04
[info] Training epoch: 36000, LR: 1.58e-04
[info] Training epoch: 37000, LR: 1.50e-04
[info] Training epoch: 38000, LR: 1.42e-04
[info] Training epoch: 39000, LR: 1.35e-04
[info] Training epoch: 40000, LR: 1.29e-04
===== logging end   2025-11-05 05:10:44 =====
