
===== logging start 2025-10-28 19:42:36 =====
--- Best Epoch: 1, Loss: 1.0134e+01, IC: 6.2890e-01, Res: 9.5049e+00 ---
--- Best Epoch: 2, Loss: 4.1649e+00, IC: 4.3158e-01, Res: 3.7333e+00 ---
--- Best Epoch: 3, Loss: 1.7033e+00, IC: 2.7920e-01, Res: 1.4241e+00 ---
--- Best Epoch: 4, Loss: 8.5120e-01, IC: 1.7616e-01, Res: 6.7504e-01 ---
--- Best Epoch: 5, Loss: 4.0702e-01, IC: 1.1035e-01, Res: 2.9668e-01 ---
--- Best Epoch: 6, Loss: 1.6913e-01, IC: 7.0358e-02, Res: 9.8767e-02 ---
--- Best Epoch: 7, Loss: 8.0959e-02, IC: 4.9463e-02, Res: 3.1496e-02 ---
--- Best Epoch: 10, Loss: 7.4995e-02, IC: 4.0097e-02, Res: 3.4898e-02 ---
--- Best Epoch: 11, Loss: 5.9119e-02, IC: 4.2738e-02, Res: 1.6381e-02 ---
--- Best Epoch: 12, Loss: 5.1062e-02, IC: 4.6215e-02, Res: 4.8470e-03 ---
--- Best Epoch: 13, Loss: 4.7816e-02, IC: 4.4668e-02, Res: 3.1484e-03 ---
--- Best Epoch: 17, Loss: 4.7464e-02, IC: 4.5977e-02, Res: 1.4873e-03 ---
--- Best Epoch: 64, Loss: 4.7122e-02, IC: 4.6044e-02, Res: 1.0780e-03 ---
--- Best Epoch: 66, Loss: 4.4446e-02, IC: 4.3511e-02, Res: 9.3508e-04 ---
--- Best Epoch: 69, Loss: 4.3211e-02, IC: 4.2528e-02, Res: 6.8293e-04 ---
--- Best Epoch: 75, Loss: 4.3075e-02, IC: 4.2446e-02, Res: 6.2881e-04 ---
--- Best Epoch: 76, Loss: 4.0587e-02, IC: 3.9941e-02, Res: 6.4616e-04 ---
--- Best Epoch: 80, Loss: 4.0534e-02, IC: 3.9786e-02, Res: 7.4856e-04 ---
--- Best Epoch: 81, Loss: 3.8880e-02, IC: 3.8047e-02, Res: 8.3334e-04 ---
--- Best Epoch: 92, Loss: 3.6995e-02, IC: 3.6622e-02, Res: 3.7317e-04 ---
--- Best Epoch: 118, Loss: 3.6933e-02, IC: 3.6848e-02, Res: 8.5330e-05 ---
--- Best Epoch: 191, Loss: 3.6526e-02, IC: 3.6436e-02, Res: 8.9595e-05 ---
--- Best Epoch: 226, Loss: 3.6382e-02, IC: 3.6214e-02, Res: 1.6847e-04 ---
--- Best Epoch: 236, Loss: 3.5908e-02, IC: 3.5670e-02, Res: 2.3772e-04 ---
--- Best Epoch: 243, Loss: 3.5897e-02, IC: 3.5642e-02, Res: 2.5490e-04 ---
--- Best Epoch: 258, Loss: 3.5870e-02, IC: 3.5287e-02, Res: 5.8281e-04 ---
--- Best Epoch: 260, Loss: 3.5171e-02, IC: 3.4743e-02, Res: 4.2825e-04 ---
--- Best Epoch: 265, Loss: 3.5056e-02, IC: 3.4568e-02, Res: 4.8858e-04 ---
--- Best Epoch: 269, Loss: 3.4597e-02, IC: 3.3969e-02, Res: 6.2880e-04 ---
--- Best Epoch: 270, Loss: 3.4587e-02, IC: 3.3989e-02, Res: 5.9805e-04 ---
--- Best Epoch: 273, Loss: 3.4235e-02, IC: 3.3561e-02, Res: 6.7352e-04 ---
--- Best Epoch: 276, Loss: 3.3784e-02, IC: 3.3140e-02, Res: 6.4380e-04 ---
--- Best Epoch: 277, Loss: 3.3165e-02, IC: 3.2579e-02, Res: 5.8569e-04 ---
--- Best Epoch: 281, Loss: 3.2577e-02, IC: 3.1913e-02, Res: 6.6416e-04 ---
--- Best Epoch: 285, Loss: 3.0250e-02, IC: 2.9563e-02, Res: 6.8684e-04 ---
--- Best Epoch: 295, Loss: 2.9992e-02, IC: 2.9357e-02, Res: 6.3526e-04 ---
--- Best Epoch: 297, Loss: 2.9760e-02, IC: 2.9144e-02, Res: 6.1678e-04 ---
--- Best Epoch: 300, Loss: 2.9594e-02, IC: 2.8936e-02, Res: 6.5833e-04 ---
--- Best Epoch: 301, Loss: 2.8827e-02, IC: 2.8129e-02, Res: 6.9877e-04 ---
--- Best Epoch: 302, Loss: 2.8491e-02, IC: 2.7847e-02, Res: 6.4316e-04 ---
--- Best Epoch: 306, Loss: 2.8360e-02, IC: 2.7859e-02, Res: 5.0087e-04 ---
--- Best Epoch: 307, Loss: 2.8070e-02, IC: 2.7487e-02, Res: 5.8278e-04 ---
--- Best Epoch: 308, Loss: 2.7222e-02, IC: 2.6566e-02, Res: 6.5581e-04 ---
--- Best Epoch: 311, Loss: 2.5429e-02, IC: 2.4888e-02, Res: 5.4085e-04 ---
--- Best Epoch: 312, Loss: 2.5155e-02, IC: 2.4633e-02, Res: 5.2172e-04 ---
--- Best Epoch: 319, Loss: 2.4670e-02, IC: 2.4089e-02, Res: 5.8121e-04 ---
--- Best Epoch: 327, Loss: 2.4534e-02, IC: 2.3126e-02, Res: 1.4080e-03 ---
--- Best Epoch: 331, Loss: 2.3708e-02, IC: 2.2650e-02, Res: 1.0576e-03 ---
--- Best Epoch: 332, Loss: 2.3258e-02, IC: 2.1734e-02, Res: 1.5244e-03 ---
--- Best Epoch: 335, Loss: 2.2856e-02, IC: 2.2044e-02, Res: 8.1174e-04 ---
--- Best Epoch: 339, Loss: 2.2284e-02, IC: 2.1517e-02, Res: 7.6720e-04 ---
--- Best Epoch: 341, Loss: 2.2037e-02, IC: 2.1425e-02, Res: 6.1192e-04 ---
--- Best Epoch: 346, Loss: 2.1589e-02, IC: 2.0998e-02, Res: 5.9098e-04 ---
--- Best Epoch: 358, Loss: 2.0658e-02, IC: 2.0211e-02, Res: 4.4663e-04 ---
--- Best Epoch: 370, Loss: 2.0634e-02, IC: 2.0283e-02, Res: 3.5142e-04 ---
--- Best Epoch: 389, Loss: 2.0441e-02, IC: 2.0166e-02, Res: 2.7505e-04 ---
--- Best Epoch: 393, Loss: 2.0107e-02, IC: 1.9758e-02, Res: 3.4904e-04 ---
--- Best Epoch: 406, Loss: 2.0039e-02, IC: 1.9706e-02, Res: 3.3270e-04 ---
--- Best Epoch: 417, Loss: 2.0030e-02, IC: 1.9870e-02, Res: 1.5966e-04 ---
--- Best Epoch: 422, Loss: 1.9878e-02, IC: 1.9629e-02, Res: 2.4945e-04 ---
--- Best Epoch: 426, Loss: 1.9568e-02, IC: 1.9163e-02, Res: 4.0460e-04 ---
