
===== logging start 2025-11-23 14:30:16 =====
--- Best Epoch: 1, Loss: 7.5160e+00, IC: 6.0033e-01, Res: 6.9157e+00 ---
--- Best Epoch: 2, Loss: 6.4515e+00, IC: 3.7866e-01, Res: 6.0728e+00 ---
--- Best Epoch: 3, Loss: 1.5945e+00, IC: 2.8700e-01, Res: 1.3075e+00 ---
--- Best Epoch: 5, Loss: 7.2466e-01, IC: 1.4972e-01, Res: 5.7494e-01 ---
--- Best Epoch: 8, Loss: 3.0614e-01, IC: 7.1720e-02, Res: 2.3442e-01 ---
--- Best Epoch: 11, Loss: 1.9077e-01, IC: 5.0826e-02, Res: 1.3995e-01 ---
--- Best Epoch: 12, Loss: 7.7565e-02, IC: 5.0335e-02, Res: 2.7229e-02 ---
--- Best Epoch: 13, Loss: 6.7478e-02, IC: 4.5857e-02, Res: 2.1621e-02 ---
--- Best Epoch: 14, Loss: 5.1559e-02, IC: 4.6658e-02, Res: 4.9005e-03 ---
--- Best Epoch: 17, Loss: 4.8507e-02, IC: 4.3699e-02, Res: 4.8083e-03 ---
--- Best Epoch: 20, Loss: 4.8491e-02, IC: 4.5749e-02, Res: 2.7425e-03 ---
--- Best Epoch: 40, Loss: 4.7902e-02, IC: 4.7299e-02, Res: 6.0280e-04 ---
--- Best Epoch: 41, Loss: 4.6168e-02, IC: 4.5531e-02, Res: 6.3711e-04 ---
--- Best Epoch: 45, Loss: 4.4858e-02, IC: 4.3857e-02, Res: 1.0013e-03 ---
--- Best Epoch: 47, Loss: 4.4063e-02, IC: 4.2682e-02, Res: 1.3811e-03 ---
--- Best Epoch: 51, Loss: 4.3959e-02, IC: 4.1859e-02, Res: 2.1000e-03 ---
--- Best Epoch: 53, Loss: 4.3474e-02, IC: 4.0850e-02, Res: 2.6246e-03 ---
--- Best Epoch: 54, Loss: 4.2997e-02, IC: 4.0207e-02, Res: 2.7899e-03 ---
--- Best Epoch: 57, Loss: 4.1549e-02, IC: 3.8374e-02, Res: 3.1746e-03 ---
--- Best Epoch: 59, Loss: 4.0917e-02, IC: 3.8025e-02, Res: 2.8921e-03 ---
--- Best Epoch: 64, Loss: 4.0891e-02, IC: 3.8838e-02, Res: 2.0531e-03 ---
--- Best Epoch: 66, Loss: 3.9111e-02, IC: 3.7428e-02, Res: 1.6833e-03 ---
--- Best Epoch: 69, Loss: 3.9103e-02, IC: 3.7804e-02, Res: 1.2992e-03 ---
--- Best Epoch: 81, Loss: 3.8902e-02, IC: 3.8190e-02, Res: 7.1229e-04 ---
--- Best Epoch: 92, Loss: 3.7295e-02, IC: 3.6330e-02, Res: 9.6471e-04 ---
--- Best Epoch: 140, Loss: 3.7107e-02, IC: 3.6817e-02, Res: 2.9041e-04 ---
--- Best Epoch: 191, Loss: 3.6211e-02, IC: 3.5963e-02, Res: 2.4812e-04 ---
--- Best Epoch: 226, Loss: 3.6115e-02, IC: 3.5187e-02, Res: 9.2793e-04 ---
--- Best Epoch: 230, Loss: 3.6058e-02, IC: 3.5246e-02, Res: 8.1196e-04 ---
--- Best Epoch: 236, Loss: 3.4955e-02, IC: 3.4239e-02, Res: 7.1527e-04 ---
--- Best Epoch: 244, Loss: 3.4910e-02, IC: 3.4126e-02, Res: 7.8373e-04 ---
--- Best Epoch: 260, Loss: 3.4314e-02, IC: 3.3313e-02, Res: 1.0017e-03 ---
--- Best Epoch: 269, Loss: 3.3944e-02, IC: 3.2775e-02, Res: 1.1692e-03 ---
--- Best Epoch: 273, Loss: 3.3522e-02, IC: 3.2391e-02, Res: 1.1307e-03 ---
--- Best Epoch: 277, Loss: 3.2821e-02, IC: 3.1812e-02, Res: 1.0088e-03 ---
--- Best Epoch: 281, Loss: 3.2418e-02, IC: 3.1291e-02, Res: 1.1268e-03 ---
--- Best Epoch: 285, Loss: 3.0334e-02, IC: 2.9392e-02, Res: 9.4176e-04 ---
--- Best Epoch: 301, Loss: 2.9744e-02, IC: 2.8787e-02, Res: 9.5699e-04 ---
--- Best Epoch: 308, Loss: 2.8972e-02, IC: 2.7925e-02, Res: 1.0474e-03 ---
--- Best Epoch: 311, Loss: 2.7514e-02, IC: 2.6529e-02, Res: 9.8440e-04 ---
--- Best Epoch: 312, Loss: 2.7472e-02, IC: 2.6578e-02, Res: 8.9384e-04 ---
--- Best Epoch: 318, Loss: 2.7005e-02, IC: 2.6051e-02, Res: 9.5379e-04 ---
--- Best Epoch: 319, Loss: 2.6578e-02, IC: 2.5705e-02, Res: 8.7328e-04 ---
--- Best Epoch: 321, Loss: 2.5978e-02, IC: 2.5226e-02, Res: 7.5284e-04 ---
--- Best Epoch: 323, Loss: 2.5662e-02, IC: 2.4728e-02, Res: 9.3394e-04 ---
--- Best Epoch: 332, Loss: 2.5193e-02, IC: 2.4421e-02, Res: 7.7284e-04 ---
--- Best Epoch: 338, Loss: 2.4886e-02, IC: 2.4177e-02, Res: 7.0934e-04 ---
--- Best Epoch: 339, Loss: 2.4355e-02, IC: 2.3523e-02, Res: 8.3265e-04 ---
--- Best Epoch: 341, Loss: 2.4348e-02, IC: 2.3119e-02, Res: 1.2293e-03 ---
--- Best Epoch: 344, Loss: 2.3322e-02, IC: 2.2118e-02, Res: 1.2046e-03 ---
--- Best Epoch: 346, Loss: 2.2798e-02, IC: 2.2166e-02, Res: 6.3153e-04 ---
--- Best Epoch: 363, Loss: 2.2758e-02, IC: 2.1883e-02, Res: 8.7512e-04 ---
--- Best Epoch: 370, Loss: 2.2693e-02, IC: 2.0246e-02, Res: 2.4466e-03 ---
--- Best Epoch: 377, Loss: 2.2094e-02, IC: 2.0489e-02, Res: 1.6048e-03 ---
--- Best Epoch: 384, Loss: 2.1466e-02, IC: 1.9951e-02, Res: 1.5148e-03 ---
--- Best Epoch: 389, Loss: 2.0761e-02, IC: 1.9823e-02, Res: 9.3783e-04 ---
--- Best Epoch: 393, Loss: 2.0745e-02, IC: 1.9785e-02, Res: 9.6090e-04 ---
--- Best Epoch: 409, Loss: 2.0737e-02, IC: 1.9995e-02, Res: 7.4200e-04 ---
--- Best Epoch: 411, Loss: 2.0723e-02, IC: 1.9764e-02, Res: 9.5923e-04 ---
--- Best Epoch: 422, Loss: 2.0155e-02, IC: 1.9430e-02, Res: 7.2582e-04 ---
--- Best Epoch: 440, Loss: 1.9670e-02, IC: 1.9387e-02, Res: 2.8264e-04 ---
--- Best Epoch: 545, Loss: 1.9043e-02, IC: 1.8689e-02, Res: 3.5401e-04 ---
--- Best Epoch: 635, Loss: 1.8753e-02, IC: 1.8515e-02, Res: 2.3766e-04 ---
--- Best Epoch: 898, Loss: 1.8627e-02, IC: 1.8453e-02, Res: 1.7471e-04 ---
[info] Training epoch: 1000, LR: 9.50e-04
--- Best Epoch: 1041, Loss: 1.8039e-02, IC: 1.7812e-02, Res: 2.2683e-04 ---
--- Best Epoch: 1345, Loss: 1.7951e-02, IC: 1.7348e-02, Res: 6.0341e-04 ---
--- Best Epoch: 1355, Loss: 1.7683e-02, IC: 1.7375e-02, Res: 3.0844e-04 ---
--- Best Epoch: 1377, Loss: 1.7664e-02, IC: 1.6877e-02, Res: 7.8745e-04 ---
--- Best Epoch: 1392, Loss: 1.7590e-02, IC: 1.7053e-02, Res: 5.3745e-04 ---
--- Best Epoch: 1396, Loss: 1.6915e-02, IC: 1.6641e-02, Res: 2.7400e-04 ---
--- Best Epoch: 1412, Loss: 1.6487e-02, IC: 1.5899e-02, Res: 5.8815e-04 ---
--- Best Epoch: 1419, Loss: 1.5897e-02, IC: 1.4984e-02, Res: 9.1313e-04 ---
--- Best Epoch: 1421, Loss: 1.5174e-02, IC: 1.4627e-02, Res: 5.4727e-04 ---
--- Best Epoch: 1430, Loss: 1.4298e-02, IC: 1.3543e-02, Res: 7.5504e-04 ---
--- Best Epoch: 1480, Loss: 1.3927e-02, IC: 1.3730e-02, Res: 1.9738e-04 ---
--- Best Epoch: 1488, Loss: 1.3593e-02, IC: 1.3573e-02, Res: 2.0495e-05 ---
--- Best Epoch: 1495, Loss: 1.3350e-02, IC: 1.3188e-02, Res: 1.6242e-04 ---
--- Best Epoch: 1503, Loss: 1.3327e-02, IC: 1.3314e-02, Res: 1.2773e-05 ---
--- Best Epoch: 1509, Loss: 1.2426e-02, IC: 1.2412e-02, Res: 1.4601e-05 ---
--- Best Epoch: 1525, Loss: 1.2269e-02, IC: 1.2186e-02, Res: 8.3494e-05 ---
--- Best Epoch: 1537, Loss: 1.1496e-02, IC: 1.0684e-02, Res: 8.1215e-04 ---
--- Best Epoch: 1540, Loss: 1.0739e-02, IC: 1.0702e-02, Res: 3.6878e-05 ---
--- Best Epoch: 1544, Loss: 1.0329e-02, IC: 1.0268e-02, Res: 6.1291e-05 ---
--- Best Epoch: 1545, Loss: 9.8407e-03, IC: 9.6164e-03, Res: 2.2435e-04 ---
--- Best Epoch: 1546, Loss: 9.5086e-03, IC: 9.5079e-03, Res: 7.0050e-07 ---
--- Best Epoch: 1547, Loss: 8.7653e-03, IC: 8.7650e-03, Res: 3.0985e-07 ---
--- Best Epoch: 1549, Loss: 7.9097e-03, IC: 7.8815e-03, Res: 2.8172e-05 ---
--- Best Epoch: 1554, Loss: 7.5260e-03, IC: 7.4653e-03, Res: 6.0686e-05 ---
--- Best Epoch: 1559, Loss: 7.3751e-03, IC: 7.3526e-03, Res: 2.2503e-05 ---
--- Best Epoch: 1615, Loss: 6.9810e-03, IC: 6.9676e-03, Res: 1.3438e-05 ---
--- Best Epoch: 1667, Loss: 6.7522e-03, IC: 6.7522e-03, Res: 4.0336e-08 ---
--- Best Epoch: 1751, Loss: 6.6566e-03, IC: 6.6544e-03, Res: 2.1774e-06 ---
--- Best Epoch: 1806, Loss: 6.5815e-03, IC: 6.5804e-03, Res: 1.0192e-06 ---
--- Best Epoch: 1811, Loss: 6.2964e-03, IC: 6.2964e-03, Res: 1.8589e-10 ---
--- Best Epoch: 1914, Loss: 6.2471e-03, IC: 6.2205e-03, Res: 2.6627e-05 ---
--- Best Epoch: 1949, Loss: 6.1568e-03, IC: 6.1568e-03, Res: 1.6361e-08 ---
--- Best Epoch: 1952, Loss: 5.7703e-03, IC: 5.7703e-03, Res: 6.9311e-09 ---
--- Best Epoch: 1984, Loss: 5.5000e-03, IC: 5.4995e-03, Res: 5.8703e-07 ---
--- Best Epoch: 1988, Loss: 4.1600e-03, IC: 4.1600e-03, Res: 4.2665e-13 ---
--- Best Epoch: 1992, Loss: 2.9003e-03, IC: 2.9001e-03, Res: 1.7692e-07 ---
--- Best Epoch: 1995, Loss: 2.5961e-03, IC: 2.5961e-03, Res: 1.2970e-11 ---
--- Best Epoch: 1996, Loss: 1.7663e-03, IC: 1.7662e-03, Res: 7.2169e-08 ---
--- Best Epoch: 1999, Loss: 1.2657e-03, IC: 1.2657e-03, Res: 6.4103e-13 ---
[info] Training epoch: 2000, LR: 9.02e-04
--- Best Epoch: 2000, Loss: 9.7283e-04, IC: 9.7183e-04, Res: 9.9865e-07 ---
--- Best Epoch: 2003, Loss: 5.7263e-04, IC: 5.7257e-04, Res: 6.0551e-08 ---
--- Best Epoch: 2006, Loss: 5.2075e-04, IC: 5.2075e-04, Res: 2.1485e-11 ---
--- Best Epoch: 2007, Loss: 4.9350e-04, IC: 4.9350e-04, Res: 1.3988e-13 ---
--- Best Epoch: 2010, Loss: 4.8922e-04, IC: 4.8922e-04, Res: 1.2116e-09 ---
--- Best Epoch: 2014, Loss: 4.6306e-04, IC: 4.6306e-04, Res: 8.9539e-16 ---
--- Best Epoch: 2016, Loss: 4.3289e-04, IC: 4.3289e-04, Res: 7.2430e-12 ---
